,path1,path2,lch,tree1,tree2,matriz,path_sim,LCh,wup,normalizada,levenstein,humans,w1,w2
0,"{Synset('cord.n.02'): 0, Synset('volume_unit.n.01'): 1, Synset('unit_of_measurement.n.01'): 2, Synset('definite_quantity.n.01'): 3, Synset('measure.n.02'): 4, Synset('abstraction.n.06'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('smile.n.01'): 0, Synset('facial_expression.n.01'): 1, Synset('gesture.n.02'): 2, Synset('visual_communication.n.01'): 3, Synset('communication.n.02'): 4, Synset('abstraction.n.06'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}",Synset('abstraction.n.06'),"[Synset('cord.n.02'), Synset('volume_unit.n.01'), Synset('unit_of_measurement.n.01'), Synset('definite_quantity.n.01'), Synset('measure.n.02'), Synset('abstraction.n.06')]","[Synset('smile.n.01'), Synset('facial_expression.n.01'), Synset('gesture.n.02'), Synset('visual_communication.n.01'), Synset('communication.n.02'), Synset('abstraction.n.06')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6}, 5: {0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5, 6: 6}, 6: {0: 6, 1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 5}}",0.090909091,1.239690887,0.285714286,0.375,5,0.02,cord,smile
1,"{Synset('cock.n.04'): 0, Synset('chicken.n.02'): 1, Synset('domestic_fowl.n.01'): 2, Synset('gallinaceous_bird.n.01'): 3, Synset('bird.n.01'): 4, Synset('vertebrate.n.01'): 5, Synset('chordate.n.01'): 6, Synset('animal.n.01'): 7, Synset('organism.n.01'): 8, Synset('living_thing.n.01'): 9, Synset('whole.n.02'): 10, Synset('object.n.01'): 11, Synset('physical_entity.n.01'): 12, Synset('entity.n.01'): 13, Synset('*ROOT*'): 14}","{Synset('ocean_trip.n.01'): 0, Synset('water_travel.n.01'): 1, Synset('travel.n.01'): 2, Synset('motion.n.06'): 3, Synset('change.n.03'): 4, Synset('action.n.01'): 5, Synset('act.n.02'): 6, Synset('event.n.01'): 7, Synset('psychological_feature.n.01'): 8, Synset('abstraction.n.06'): 9, Synset('entity.n.01'): 10, Synset('*ROOT*'): 11}",Synset('entity.n.01'),"[Synset('cock.n.04'), Synset('chicken.n.02'), Synset('domestic_fowl.n.01'), Synset('gallinaceous_bird.n.01'), Synset('bird.n.01'), Synset('vertebrate.n.01'), Synset('chordate.n.01'), Synset('animal.n.01'), Synset('organism.n.01'), Synset('living_thing.n.01'), Synset('whole.n.02'), Synset('object.n.01'), Synset('physical_entity.n.01'), Synset('entity.n.01')]","[Synset('ocean_trip.n.01'), Synset('water_travel.n.01'), Synset('travel.n.01'), Synset('motion.n.06'), Synset('change.n.03'), Synset('action.n.01'), Synset('act.n.02'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('entity.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10, 11: 11}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10, 11: 11}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10, 11: 11}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10, 11: 11}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10, 11: 11}, 5: {0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10, 11: 11}, 6: {0: 6, 1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10, 11: 11}, 7: {0: 7, 1: 7, 2: 7, 3: 7, 4: 7, 5: 7, 6: 7, 7: 7, 8: 8, 9: 9, 10: 10, 11: 11}, 8: {0: 8, 1: 8, 2: 8, 3: 8, 4: 8, 5: 8, 6: 8, 7: 8, 8: 8, 9: 9, 10: 10, 11: 11}, 9: {0: 9, 1: 9, 2: 9, 3: 9, 4: 9, 5: 9, 6: 9, 7: 9, 8: 9, 9: 9, 10: 10, 11: 11}, 10: {0: 10, 1: 10, 2: 10, 3: 10, 4: 10, 5: 10, 6: 10, 7: 10, 8: 10, 9: 10, 10: 10, 11: 11}, 11: {0: 11, 1: 11, 2: 11, 3: 11, 4: 11, 5: 11, 6: 11, 7: 11, 8: 11, 9: 11, 10: 11, 11: 11}, 12: {0: 12, 1: 12, 2: 12, 3: 12, 4: 12, 5: 12, 6: 12, 7: 12, 8: 12, 9: 12, 10: 12, 11: 12}, 13: {0: 13, 1: 13, 2: 13, 3: 13, 4: 13, 5: 13, 6: 13, 7: 13, 8: 13, 9: 13, 10: 13, 11: 13}, 14: {0: 14, 1: 14, 2: 14, 3: 14, 4: 14, 5: 14, 6: 14, 7: 14, 8: 14, 9: 14, 10: 14, 11: 13}}",0.041666667,0.459532329,0.08,0.133333333,13,0.04,rooster,voyage
2,"{Synset('noon.n.01'): 0, Synset('hour.n.02'): 1, Synset('clock_time.n.01'): 2, Synset('reading.n.03'): 3, Synset('datum.n.01'): 4, Synset('information.n.02'): 5, Synset('cognition.n.01'): 6, Synset('psychological_feature.n.01'): 7, Synset('abstraction.n.06'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}","{Synset('string.n.04'): 0, Synset('series.n.01'): 1, Synset('ordering.n.01'): 2, Synset('arrangement.n.02'): 3, Synset('group.n.01'): 4, Synset('abstraction.n.06'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}",Synset('abstraction.n.06'),"[Synset('noon.n.01'), Synset('hour.n.02'), Synset('clock_time.n.01'), Synset('reading.n.03'), Synset('datum.n.01'), Synset('information.n.02'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06')]","[Synset('string.n.04'), Synset('series.n.01'), Synset('ordering.n.01'), Synset('arrangement.n.02'), Synset('group.n.01'), Synset('abstraction.n.06')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6}, 5: {0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5, 6: 6}, 6: {0: 6, 1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6}, 7: {0: 7, 1: 7, 2: 7, 3: 7, 4: 7, 5: 7, 6: 7}, 8: {0: 8, 1: 8, 2: 8, 3: 8, 4: 8, 5: 8, 6: 8}, 9: {0: 9, 1: 9, 2: 9, 3: 9, 4: 9, 5: 9, 6: 8}}",0.071428571,0.99852883,0.235294118,0.272727273,8,0.04,noon,string
3,"{Synset('yield.n.03'): 0, Synset('product.n.02'): 1, Synset('creation.n.02'): 2, Synset('artifact.n.01'): 3, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('physical_entity.n.01'): 6, Synset('entity.n.01'): 7, Synset('*ROOT*'): 8}","{Synset('furnace.n.01'): 0, Synset('chamber.n.01'): 1, Synset('enclosure.n.01'): 2, Synset('area.n.05'): 3, Synset('structure.n.01'): 4, Synset('artifact.n.01'): 5, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('physical_entity.n.01'): 8, Synset('entity.n.01'): 9, Synset('*ROOT*'): 10}",Synset('artifact.n.01'),"[Synset('yield.n.03'), Synset('product.n.02'), Synset('creation.n.02'), Synset('artifact.n.01')]","[Synset('furnace.n.01'), Synset('chamber.n.01'), Synset('enclosure.n.01'), Synset('area.n.05'), Synset('structure.n.01'), Synset('artifact.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 5}}",0.111111111,1.440361582,0.555555556,0.545454545,5,0.05,fruit,furnace
4,"{Synset('autograph.n.01'): 0, Synset('writing.n.02'): 1, Synset('written_communication.n.01'): 2, Synset('communication.n.02'): 3, Synset('abstraction.n.06'): 4, Synset('entity.n.01'): 5, Synset('*ROOT*'): 6}","{Synset('shore.n.01'): 0, Synset('geological_formation.n.01'): 1, Synset('object.n.01'): 2, Synset('physical_entity.n.01'): 3, Synset('entity.n.01'): 4, Synset('*ROOT*'): 5}",Synset('entity.n.01'),"[Synset('autograph.n.01'), Synset('writing.n.02'), Synset('written_communication.n.01'), Synset('communication.n.02'), Synset('abstraction.n.06'), Synset('entity.n.01')]","[Synset('shore.n.01'), Synset('geological_formation.n.01'), Synset('object.n.01'), Synset('physical_entity.n.01'), Synset('entity.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5}, 5: {0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5}, 6: {0: 6, 1: 6, 2: 6, 3: 6, 4: 6, 5: 5}}",0.1,1.335001067,0.181818182,0.285714286,5,0.06,autograph,shore
5,"{Synset('car.n.01'): 0, Synset('motor_vehicle.n.01'): 1, Synset('self-propelled_vehicle.n.01'): 2, Synset('wheeled_vehicle.n.01'): 3, Synset('container.n.01'): 4, Synset('vehicle.n.01'): 4, Synset('instrumentality.n.03'): 5, Synset('conveyance.n.03'): 5, Synset('artifact.n.01'): 6, Synset('whole.n.02'): 7, Synset('object.n.01'): 8, Synset('physical_entity.n.01'): 9, Synset('entity.n.01'): 10, Synset('*ROOT*'): 11}","{Synset('ace.n.03'): 0, Synset('expert.n.01'): 1, Synset('person.n.01'): 2, Synset('causal_agent.n.01'): 3, Synset('organism.n.01'): 3, Synset('physical_entity.n.01'): 4, Synset('living_thing.n.01'): 4, Synset('entity.n.01'): 5, Synset('whole.n.02'): 5, Synset('object.n.01'): 6, Synset('*ROOT*'): 7}",Synset('whole.n.02'),"[Synset('car.n.01'), Synset('motor_vehicle.n.01'), Synset('self-propelled_vehicle.n.01'), Synset('wheeled_vehicle.n.01'), Synset('container.n.01'), Synset('vehicle.n.01'), Synset('instrumentality.n.03'), Synset('conveyance.n.03'), Synset('artifact.n.01'), Synset('whole.n.02')]","[Synset('ace.n.03'), Synset('expert.n.01'), Synset('person.n.01'), Synset('causal_agent.n.01'), Synset('organism.n.01'), Synset('physical_entity.n.01'), Synset('living_thing.n.01'), Synset('entity.n.01'), Synset('whole.n.02')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 5: {0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 6: {0: 6, 1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 7, 8: 8, 9: 9}, 7: {0: 7, 1: 7, 2: 7, 3: 7, 4: 7, 5: 7, 6: 7, 7: 7, 8: 8, 9: 9}, 8: {0: 8, 1: 8, 2: 8, 3: 8, 4: 8, 5: 8, 6: 8, 7: 8, 8: 8, 9: 9}, 9: {0: 9, 1: 9, 2: 9, 3: 9, 4: 9, 5: 9, 6: 9, 7: 9, 8: 9, 9: 9}, 10: {0: 10, 1: 10, 2: 10, 3: 10, 4: 10, 5: 10, 6: 10, 7: 10, 8: 10, 9: 9}}",0.076923077,1.072636802,0.4,0.357142857,9,0.11,automobile,wizard
6,"{Synset('mound.n.04'): 0, Synset('structure.n.01'): 1, Synset('artifact.n.01'): 2, Synset('whole.n.02'): 3, Synset('object.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('stove.n.01'): 0, Synset('kitchen_appliance.n.01'): 1, Synset('home_appliance.n.01'): 2, Synset('appliance.n.02'): 3, Synset('durables.n.01'): 4, Synset('consumer_goods.n.01'): 5, Synset('commodity.n.01'): 6, Synset('artifact.n.01'): 7, Synset('whole.n.02'): 8, Synset('object.n.01'): 9, Synset('physical_entity.n.01'): 10, Synset('entity.n.01'): 11, Synset('*ROOT*'): 12}",Synset('artifact.n.01'),"[Synset('mound.n.04'), Synset('structure.n.01'), Synset('artifact.n.01')]","[Synset('stove.n.01'), Synset('kitchen_appliance.n.01'), Synset('home_appliance.n.01'), Synset('appliance.n.02'), Synset('durables.n.01'), Synset('consumer_goods.n.01'), Synset('commodity.n.01'), Synset('artifact.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 7}}",0.1,1.335001067,0.526315789,0.461538462,7,0.14,mound,stove
7,"{Synset('smile.n.01'): 0, Synset('facial_expression.n.01'): 1, Synset('gesture.n.02'): 2, Synset('visual_communication.n.01'): 3, Synset('communication.n.02'): 4, Synset('abstraction.n.06'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}","{Synset('implement.n.01'): 0, Synset('instrumentality.n.03'): 1, Synset('artifact.n.01'): 2, Synset('whole.n.02'): 3, Synset('object.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('entity.n.01'): 6, Synset('*ROOT*'): 7}",Synset('entity.n.01'),"[Synset('smile.n.01'), Synset('facial_expression.n.01'), Synset('gesture.n.02'), Synset('visual_communication.n.01'), Synset('communication.n.02'), Synset('abstraction.n.06'), Synset('entity.n.01')]","[Synset('implement.n.01'), Synset('instrumentality.n.03'), Synset('artifact.n.01'), Synset('whole.n.02'), Synset('object.n.01'), Synset('physical_entity.n.01'), Synset('entity.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6, 7: 7}, 5: {0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5, 6: 6, 7: 7}, 6: {0: 6, 1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 7}, 7: {0: 7, 1: 7, 2: 7, 3: 7, 4: 7, 5: 7, 6: 7, 7: 6}}",0.076923077,1.072636802,0.142857143,0.25,6,0.18,grin,implement
8,"{Synset('refuge.n.03'): 0, Synset('shelter.n.01'): 1, Synset('structure.n.01'): 2, Synset('artifact.n.01'): 3, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('physical_entity.n.01'): 6, Synset('entity.n.01'): 7, Synset('*ROOT*'): 8}","{Synset('yield.n.03'): 0, Synset('product.n.02'): 1, Synset('creation.n.02'): 2, Synset('artifact.n.01'): 3, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('physical_entity.n.01'): 6, Synset('entity.n.01'): 7, Synset('*ROOT*'): 8}",Synset('artifact.n.01'),"[Synset('refuge.n.03'), Synset('shelter.n.01'), Synset('structure.n.01'), Synset('artifact.n.01')]","[Synset('yield.n.03'), Synset('product.n.02'), Synset('creation.n.02'), Synset('artifact.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 3}}",0.142857143,1.691676011,0.625,0.666666667,3,0.19,asylum,fruit
9,"{Synset('refuge.n.03'): 0, Synset('shelter.n.01'): 1, Synset('structure.n.01'): 2, Synset('artifact.n.01'): 3, Synset('whole.n.02'): 4, Synset('object.n.01'): 5, Synset('physical_entity.n.01'): 6, Synset('entity.n.01'): 7, Synset('*ROOT*'): 8}","{Synset('monk.n.01'): 0, Synset('religious.n.01'): 1, Synset('religious_person.n.01'): 2, Synset('person.n.01'): 3, Synset('causal_agent.n.01'): 4, Synset('organism.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('living_thing.n.01'): 5, Synset('entity.n.01'): 6, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('*ROOT*'): 8}",Synset('whole.n.02'),"[Synset('refuge.n.03'), Synset('shelter.n.01'), Synset('structure.n.01'), Synset('artifact.n.01'), Synset('whole.n.02')]","[Synset('monk.n.01'), Synset('religious.n.01'), Synset('religious_person.n.01'), Synset('person.n.01'), Synset('causal_agent.n.01'), Synset('organism.n.01'), Synset('physical_entity.n.01'), Synset('living_thing.n.01'), Synset('entity.n.01'), Synset('whole.n.02')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}, 5: {0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 9}}",0.090909091,1.239690887,0.444444444,0.25,9,0.39,asylum,monk
10,"{Synset('cemetery.n.01'): 0, Synset('site.n.01'): 1, Synset('tract.n.01'): 2, Synset('geographical_area.n.01'): 3, Synset('region.n.03'): 4, Synset('location.n.01'): 5, Synset('object.n.01'): 6, Synset('physical_entity.n.01'): 7, Synset('entity.n.01'): 8, Synset('*ROOT*'): 9}","{Synset('bedlam.n.02'): 0, Synset('mental_hospital.n.01'): 1, Synset('hospital.n.01'): 2, Synset('medical_building.n.01'): 3, Synset('building.n.01'): 4, Synset('structure.n.01'): 5, Synset('artifact.n.01'): 6, Synset('whole.n.02'): 7, Synset('object.n.01'): 8, Synset('physical_entity.n.01'): 9, Synset('entity.n.01'): 10, Synset('*ROOT*'): 11}",Synset('object.n.01'),"[Synset('cemetery.n.01'), Synset('site.n.01'), Synset('tract.n.01'), Synset('geographical_area.n.01'), Synset('region.n.03'), Synset('location.n.01'), Synset('object.n.01')]","[Synset('bedlam.n.02'), Synset('mental_hospital.n.01'), Synset('hospital.n.01'), Synset('medical_building.n.01'), Synset('building.n.01'), Synset('structure.n.01'), Synset('artifact.n.01'), Synset('whole.n.02'), Synset('object.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 5: {0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}, 6: {0: 6, 1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 7, 8: 8, 9: 9}, 7: {0: 7, 1: 7, 2: 7, 3: 7, 4: 7, 5: 7, 6: 7, 7: 7, 8: 8, 9: 8}}",0.066666667,0.929535959,0.3,0.333333333,8,0.42,graveyard,madhouse
11,"{Synset('glass.n.01'): 0, Synset('solid.n.01'): 1, Synset('matter.n.03'): 2, Synset('physical_entity.n.01'): 3, Synset('entity.n.01'): 4, Synset('*ROOT*'): 5}","{Synset('magician.n.01'): 0, Synset('performer.n.01'): 1, Synset('entertainer.n.01'): 2, Synset('person.n.01'): 3, Synset('causal_agent.n.01'): 4, Synset('organism.n.01'): 4, Synset('physical_entity.n.01'): 5, Synset('living_thing.n.01'): 5, Synset('entity.n.01'): 6, Synset('whole.n.02'): 6, Synset('object.n.01'): 7, Synset('*ROOT*'): 8}",Synset('physical_entity.n.01'),"[Synset('glass.n.01'), Synset('solid.n.01'), Synset('matter.n.03'), Synset('physical_entity.n.01')]","[Synset('magician.n.01'), Synset('performer.n.01'), Synset('entertainer.n.01'), Synset('person.n.01'), Synset('causal_agent.n.01'), Synset('organism.n.01'), Synset('physical_entity.n.01')]","{0: {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7}, 1: {0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7}, 2: {0: 2, 1: 2, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7}, 3: {0: 3, 1: 3, 2: 3, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7}, 4: {0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 5, 6: 6, 7: 6}}",0.111111111,1.440361582,0.333333333,0.5,6,0.44,glass,magician
